iter	MultiClass
0	1.080354775
1	1.065942667
2	1.054031639
3	1.041709967
4	1.030264139
5	1.020568243
6	1.011070978
7	1.003483134
8	0.996602004
9	0.9876370334
10	0.9812028819
11	0.9765088888
12	0.9723219375
13	0.9664797717
14	0.9626551123
15	0.9576887823
16	0.9529429587
17	0.9483081806
18	0.9424203992
19	0.9384839411
20	0.9338277678
21	0.9274021622
22	0.9231508564
23	0.9201168661
24	0.9161376494
25	0.913689576
26	0.9094252429
27	0.9059171526
28	0.9024768842
29	0.9009315434
30	0.8983340343
31	0.8961650926
32	0.892044805
33	0.8905281554
34	0.888229358
35	0.8862316516
36	0.8846399637
37	0.8828710803
38	0.8793709435
39	0.8762650531
40	0.8741021977
41	0.8723893392
42	0.870828811
43	0.868771261
44	0.8657322797
45	0.8645928253
46	0.8621749887
47	0.8607064439
48	0.8589997884
49	0.8577786563
50	0.8560797253
51	0.8548619502
52	0.8541487259
53	0.8530931601
54	0.8523511818
55	0.8514641374
56	0.8505698844
57	0.8496449844
58	0.8482251535
59	0.8463391669
60	0.8452064443
61	0.8443399614
62	0.8428066017
63	0.8406158744
64	0.8389217204
65	0.8378905237
66	0.8366519364
67	0.8351210057
68	0.8333524603
69	0.8327126343
70	0.8315551888
71	0.8309459958
72	0.8295242939
73	0.8279076992
74	0.8273655129
75	0.8262607978
76	0.8257256786
77	0.8252479752
78	0.8242766677
79	0.8236179671
80	0.8226494379
81	0.8220209728
82	0.8216949627
83	0.8206762495
84	0.819993238
85	0.818576985
86	0.8176091077
87	0.8164982195
88	0.8157806651
89	0.8151771914
90	0.8143266758
91	0.814058757
92	0.8134755249
93	0.8129239026
94	0.8124747639
95	0.8119601762
96	0.8113652177
97	0.8105376996
98	0.8097019721
99	0.8083566854
694
