iter	Passed	Remaining
0	380	37622
1	721	35371
2	1044	33760
3	1332	31980
4	1696	32228
5	1970	30872
6	2356	31305
7	2632	30275
8	3038	30727
9	3394	30547
10	3728	30169
11	3942	28909
12	4372	29262
13	4650	28564
14	4966	28142
15	5259	27612
16	5508	26892
17	5855	26673
18	6138	26168
19	6485	25943
20	6742	25363
21	7072	25076
22	7470	25008
23	7712	24423
24	7999	23999
25	8233	23433
26	8630	23333
27	8890	22861
28	9191	22504
29	9472	22102
30	9691	21571
31	9977	21201
32	10299	20910
33	10511	20404
34	10851	20151
35	11151	19824
36	11380	19377
37	11611	18944
38	11896	18606
39	12197	18296
40	12460	17930
41	12747	17603
42	13031	17273
43	13312	16943
44	13623	16650
45	13852	16261
46	14227	16044
47	14546	15758
48	14799	15403
49	15042	15042
50	15286	14686
51	15568	14370
52	15812	14022
53	16055	13676
54	16229	13278
55	16471	12941
56	16711	12606
57	16938	12265
58	17321	12037
59	17587	11724
60	17844	11408
61	18148	11123
62	18457	10840
63	18811	10581
64	19070	10268
65	19350	9968
66	19641	9674
67	19879	9354
68	20249	9097
69	20530	8798
70	20875	8526
71	21132	8218
72	21354	7898
73	21728	7634
74	21952	7317
75	22261	7029
76	22479	6714
77	22740	6414
78	22976	6107
79	23268	5817
80	23506	5513
81	23816	5228
82	24027	4921
83	24359	4639
84	24576	4337
85	24894	4052
86	25131	3755
87	25397	3463
88	25691	3175
89	25871	2874
90	26116	2582
91	26275	2284
92	26420	1988
93	26542	1694
94	26627	1401
95	26714	1113
96	26781	828
97	26846	547
98	26937	272
99	27011	0
0

